title,description,link,content
Macron acusa esquerda e extrema direita de conluio e reafirma que permanecerá no cargo até o fim do mandato,"Presidente da França fez um pronunciamento na TV um dia após parlamentares derrubarem primeiro-ministro Michel Barnier, escolhido por ele.",https://g1.globo.com/mundo/noticia/2024/12/05/macron-reafirma-que-permanecera-no-cargo-ate-o-fim-do-mandato.ghtml,
Governo deflagra operação para apreender itens proibidos em todos  presídios de MT,"Objetivo é apreender drogas, celulares e carregadores que têm entrado com frequência nas unidades.",https://g1.globo.com/mt/mato-grosso/noticia/2024/12/05/governo-de-mt-deflagra-operacao-para-apreender-itens-proibidos-em-todos-presidios-do-estado.ghtml,
"Homem é morto a facadas durante discussão e corpo é encontrado em matagal, em Jacaraú; suspeitos são presos","De acordo com a Polícia, os suspeitos do crime jogaram o corpo da vítima em um matagal usando um carrinho de mão.",https://g1.globo.com/pb/paraiba/noticia/2024/12/05/homem-e-morto-a-facadas-durante-discussao-e-corpo-e-encontrado-em-matagal-em-jacarau-suspeitos-sao-presos.ghtml,
"Saiba quem é Pedro Guilherme Gioia, superintendente de Vigilância que assume Secretaria de Saúde de Goiânia em meio à crise","Nomeação ocorreu após renúncia de Cynara Mathias, que havia assumido pasta depois da prisão do ex-secretário Wilson Pollara. Novo secretário é formado em administração de empresas",https://g1.globo.com/go/goias/noticia/2024/12/05/saiba-quem-e-pedro-guilherme-gioia-superintendente-de-vigilancia-que-assume-secretaria-de-saude-de-goiania-em-meio-a-crise.ghtml, ✅ Clique e siga o canal do g1 GO no WhatsApp 📱 Veja outras notícias da região no g1 Goiás.
"Réveillon de Fortaleza 2025 não terá mais três dias de festa, diz prefeitura",A prefeitura informou que não há patrocínio suficiente para todos os artistas.,https://g1.globo.com/ce/ceara/noticia/2024/12/05/reveillon-de-fortaleza-2025-nao-tera-mais-tres-dias-de-festa-diz-prefeitura.ghtml,
Influencers Lais Oliveira e Eduardo Veloso são presos em Fortaleza por envolvimento em 'jogo do tigrinho',"O mandado de prisão foi expedido pela Justiça de Alagoas por participação em organização criminosa. Lais tem 4,8 milhões de seguidores em uma rede social; na mesma, Eduardo tem 635 mil. Eles estavam passando férias na capital.",https://g1.globo.com/ce/ceara/noticia/2024/12/05/influencers-lais-oliveira-e-eduardo-veloso-sao-presos-em-fortaleza-por-envolvimento-em-jogos-de-azar.ghtml, ✅ Siga o canal do g1 Ceará no WhatsApp
Polícia pede prisão de suspeito de agredir Paulo Onça durante briga de trânsito em Manaus,"Caso aconteceu na madrugada desta quinta-feira (5). Sambista foi conduzido para o Hospital e Pronto Socorro Dr. João Lúcio, onde passou por cirurgia durante a madrugada.",https://g1.globo.com/am/amazonas/noticia/2024/12/05/policia-pede-prisao-de-suspeito-de-agredir-paulo-onca-durante-briga-de-transito-em-manaus.ghtml,
"Corretor de grãos e a esposa aplicavam golpes milionários para ostentar e manter vida de luxo, diz delegado","Vinicius Mello e Camila Melo estão foragidos e a suspeita é que eles tenham fugido para os Estados Unidos. Ação policial apreendeu quase 470 veículos, aeronaves e pediu o bloqueio de R$ 19 bilhões.",https://g1.globo.com/go/goias/noticia/2024/12/05/corretor-de-graos-e-a-esposa-aplicavam-golpes-milionarios-para-ostentar-e-manter-vida-de-luxo-diz-delegado.ghtml, ✅ Clique e siga o canal do g1 GO no WhatsApp 📱 Veja outras notícias da região no g1 Goiás.
Descarte irregular de lixo faz prefeitura instalar barreira de concreto em avenida de Governador Valadares,Ação educativa foi feita no local para conscientizar os moradores. Denúncias de descarte irregular são uma  reclamação constante da população em vários pontos da cidade.,https://g1.globo.com/mg/vales-mg/noticia/2024/12/05/descarte-irregular-de-lixo-faz-prefeitura-instalar-barreira-de-concreto-em-avenida-de-governador-valadares.ghtml, 🔔 Clique aqui para seguir o canal do g1 Vales no WhatsApp
Governo quer que 99% da população esteja a menos de 4 horas de um aeroporto,"Ministério de Portos e Aeroportos lançou nesta quinta (5) planos setoriais de portos, aeroportos e hidrovias. Contando com plano ferroviário, são 1.711 projetos de infraestrutura previstos até 2035.",https://g1.globo.com/economia/noticia/2024/12/05/governo-lanca-plano-para-viabilizar-15-mil-empreendimentos-no-setor-de-portos-aeroportos-e-hidrovias.ghtml," ✈ O plano de aviação civil foi publicado em 2018 e passa por uma atualização. Segundo Franca, o ministério modificou as indicações de investimentos, reduzindo a distância entre os aeródromos e os centros populacionais."
